nH log(R_in*) T_p R_ratio
4.560236233834125824e-02 7.763546402097446730e+00 2.365293575649418053e+05 8.960857699723881353e+00
3.578118573700612981e-02 7.660882976619849849e+00 2.426575022578843927e+05 1.030484114207538759e+01
4.526046979048269081e-02 7.751310429745260855e+00 2.370717891295953596e+05 8.869157941232375109e+00
4.538923074594587714e-02 7.760882804364306331e+00 2.364661296030242520e+05 8.602192871586828105e+00
2.949241311041971708e-02 7.584426909061495969e+00 2.479202593723976170e+05 1.193494150641487295e+01
3.984379749128953707e-02 7.701396302420106643e+00 2.400515086461673200e+05 1.024461674507142916e+01
4.101521809160025428e-02 7.721449105571738691e+00 2.388593344287852233e+05 8.752152739029650519e+00
4.157728642856976797e-02 7.705790665393671190e+00 2.401197214687450905e+05 9.036802062381678269e+00
4.809476301456633990e-02 7.793597766823595840e+00 2.342439549528605421e+05 7.725511087050865200e+00
4.518307742116196152e-02 7.765865358639167937e+00 2.360105291564664803e+05 8.098936268572600738e+00
4.404981182903972003e-02 7.726910416247235069e+00 2.390886584829217754e+05 8.677448435371507784e+00
5.026052910770816007e-02 7.785551218336776103e+00 2.354570101141367340e+05 8.199982322139135249e+00
4.167652114197401003e-02 7.720931413532502674e+00 2.388576238960489864e+05 9.274617227004686271e+00
4.156665882751051089e-02 7.722866813990436619e+00 2.381671459227792802e+05 9.671934325940135579e+00
4.439150907973963417e-02 7.742376609262389131e+00 2.376548653276162513e+05 8.567345768934076844e+00
4.897344484905565010e-02 7.801815386003990049e+00 2.339452780804763897e+05 8.053124829790675676e+00
3.788117023876090561e-02 7.684609679461904541e+00 2.409780172260565159e+05 1.019964329273312131e+01
3.688893450750753422e-02 7.653329401794354503e+00 2.437197844630238542e+05 1.134102898971021389e+01
4.506537798907851722e-02 7.750177503052259276e+00 2.372721436744456878e+05 8.885112104680050749e+00
3.662429119799097410e-02 7.657459613347882943e+00 2.431555246970136359e+05 1.047257730870996539e+01
4.071024758992800030e-02 7.679804477993458001e+00 2.423772923472567054e+05 8.991512826460127172e+00
5.069159384635250898e-02 7.811111355138819157e+00 2.334784994461303286e+05 8.281327133888137126e+00
4.617615894672839894e-02 7.771066617942040011e+00 2.355801177924870863e+05 8.580996437987385761e+00
4.045402599852505887e-02 7.720548429705673676e+00 2.386919530061764817e+05 9.251887286150862977e+00
4.152200504081714899e-02 7.703345281512783416e+00 2.400928272255358461e+05 9.102465734144942644e+00
4.006366151043899704e-02 7.693227701490569892e+00 2.409665790053811797e+05 9.780068000435655051e+00
3.814412496107998790e-02 7.675889701937169463e+00 2.418084020685421419e+05 9.926787893143327324e+00
4.519427289678169812e-02 7.739052650044984105e+00 2.386109278574627533e+05 8.884079343230094850e+00
4.163840391742205937e-02 7.726823098613213148e+00 2.381522577869270754e+05 8.658881889920831298e+00
4.087674523747831384e-02 7.704435055314726277e+00 2.400839236128359917e+05 9.142871485599656012e+00
