logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 2.000000000000000000e+02 -1.318149012048648750e+15 -1.318149012048654000e+15 1.120000000000000107e+00
-1.318149012048654000e+15 nan -5.000000000000000104e-03 2.000000000000000000e+02 -9.282040188529363750e+14 -9.282040188529416250e+14 5.300000000000000266e-01
-9.282040188529416250e+14 nan -1.000000000000000021e-02 2.000000000000000000e+02 -4.342869559497662500e+14 -4.342869559497715625e+14 2.200000000000000011e-01
-4.342869559497715625e+14 nan -1.499999999999999944e-02 2.000000000000000000e+02 -3.454246279127733125e+14 -3.454246279127786250e+14 1.389999999999999902e+00
-3.454246279127786250e+14 nan -2.000000000000000042e-02 2.000000000000000000e+02 -3.408392092088915000e+14 -3.408392092088968125e+14 1.300000000000000044e+00
-3.408392092088968125e+14 nan -2.500000000000000139e-02 2.000000000000000000e+02 -3.258365254984590000e+14 -3.258365254984643125e+14 1.189999999999999947e+00
-3.258365254984643125e+14 1.650342111430668750e+14 -3.000000000000000236e-02 2.000000000000000000e+02 -2.997845870746510625e+14 -2.997845870746563750e+14 1.219999999999999973e+00
-2.997845870746563750e+14 1.815904721324862500e+13 -3.500000000000000333e-02 2.000000000000000000e+02 -2.686952083038745625e+14 -2.686952083038799062e+14 1.600000000000000089e+00
-2.686952083038799062e+14 2.977551678658960938e+13 -4.000000000000000083e-02 2.000000000000000000e+02 -2.470795403037471875e+14 -2.470795403037525312e+14 4.299999999999999933e-01
-2.470795403037525312e+14 3.782178822171196094e+13 -4.499999999999999833e-02 2.000000000000000000e+02 -1.965976839138005000e+14 -1.965976839138058438e+14 1.580000000000000071e+00
-1.965976839138058438e+14 4.839902257902650000e+13 -4.999999999999999584e-02 2.000000000000000000e+02 -1.768136634335481875e+14 -1.768136634335535312e+14 1.840000000000000080e+00
-1.768136634335535312e+14 5.272852005479090625e+13 -5.499999999999999334e-02 2.000000000000000000e+02 -1.578722273028826250e+14 -1.578722273028879688e+14 8.800000000000000044e-01
-1.578722273028879688e+14 3.715298342877567188e+13 -5.999999999999999084e-02 2.000000000000000000e+02 -1.574558163576861875e+14 -1.574558163576915625e+14 4.199999999999999845e-01
-1.574558163576915625e+14 1.078831379356797461e+13 -6.499999999999998834e-02 2.000000000000000000e+02 -1.470188293064972500e+14 -1.470188293065026250e+14 1.750000000000000000e+00
-1.470188293065026250e+14 4.519347962649126953e+12 -6.999999999999999278e-02 2.000000000000000000e+02 -1.283929667664806875e+14 -1.283929667664860625e+14 2.099999999999999922e-01
-1.283929667664860625e+14 9.138080622954998047e+12 -7.499999999999999722e-02 2.000000000000000000e+02 -1.245476228417912812e+14 -1.245476228417966562e+14 1.739999999999999991e+00
-1.245476228417966562e+14 9.337076215187921875e+12 -8.000000000000000167e-02 2.000000000000000000e+02 -1.104245958139879531e+14 -1.104245958139933281e+14 7.299999999999999822e-01
-1.104245958139933281e+14 1.085476263599509180e+13 -8.500000000000000611e-02 2.000000000000000000e+02 -1.061973227443211875e+14 -1.061973227443265781e+14 7.099999999999999645e-01
-1.061973227443265781e+14 2.084073728757812012e+12 -9.000000000000001055e-02 2.000000000000000000e+02 -1.036474078037470156e+14 -1.036474078037524062e+14 6.700000000000000400e-01
-1.036474078037524062e+14 2.481579775855467285e+12 -9.500000000000001499e-02 2.000000000000000000e+02 -9.093210474336560938e+13 -9.093210474337100000e+13 4.500000000000000111e-01
-9.093210474337100000e+13 7.388670503127623047e+12 -1.000000000000000194e-01 2.000000000000000000e+02 -7.174875975725718750e+13 -7.174875975726259375e+13 1.610000000000000098e+00
-7.174875975726259375e+13 1.110880476478561914e+13 -1.050000000000000239e-01 2.000000000000000000e+02 -6.639032637712851562e+13 -6.639032637713392188e+13 1.479999999999999982e+00
-6.639032637713392188e+13 1.168416764652839258e+13 -1.100000000000000283e-01 2.000000000000000000e+02 -5.189346868223062500e+13 -5.189346868223603906e+13 6.600000000000000311e-01
-5.189346868223603906e+13 7.584620901171766602e+12 -1.150000000000000328e-01 2.000000000000000000e+02 -4.904843577769104688e+13 -4.904843577769646094e+13 1.270000000000000018e+00
-4.904843577769646094e+13 6.259053514278627930e+12 -1.200000000000000372e-01 2.000000000000000000e+02 -4.329440927286050781e+13 -4.329440927286592969e+13 1.379999999999999893e+00
-4.329440927286592969e+13 6.607478756597177734e+12 -1.250000000000000278e-01 2.000000000000000000e+02 -3.817587252489822656e+13 -3.817587252490365625e+13 1.620000000000000107e+00
-3.817587252490365625e+13 8.411544439943720703e+12 -1.300000000000000322e-01 2.000000000000000000e+02 -3.674415519405790625e+13 -3.674415519406333594e+13 2.099999999999999922e-01
