weight logl nH log(R_in*) T_p R_ratio
0.000000000000000000e+00 -1.318149012048648750e+15 2.876907424554666498e-02 7.972474169472476113e+00 9.823015489507770399e+05 1.415909533259955921e+01
0.000000000000000000e+00 -9.282040188529363750e+14 3.170295480452252346e-02 7.955966588610753121e+00 9.743670589709358755e+05 5.589490099841746940e+00
0.000000000000000000e+00 -4.342869559497662500e+14 3.455644402412341026e-02 7.845193555680965325e+00 9.934573050034084590e+05 2.597701346140589607e+01
0.000000000000000000e+00 -3.454246279127733125e+14 4.086885767080153387e-02 7.893266836849937462e+00 9.365415765993960667e+05 1.141187801776411348e+01
0.000000000000000000e+00 -3.408392092088915000e+14 3.516115485709743471e-02 7.981678768660841250e+00 8.633858697085933527e+05 1.034907943237338657e+01
0.000000000000000000e+00 -3.258365254984590000e+14 4.027775496956269297e-02 7.959551921426670340e+00 8.796420848852929194e+05 2.507222419433945504e+01
0.000000000000000000e+00 -2.997845870746510625e+14 2.507131649755457020e-02 7.934514914723870049e+00 8.799049950507859467e+05 2.579810507487187365e+01
0.000000000000000000e+00 -2.686952083038745625e+14 2.398346083241242530e-02 7.782986834165970258e+00 9.929544609616509406e+05 1.590913725546190349e+01
0.000000000000000000e+00 -2.470795403037471875e+14 9.030927260541890544e-02 7.879153591657506617e+00 9.587349679775976110e+05 2.048455801955559252e+01
0.000000000000000000e+00 -1.965976839138005000e+14 2.229529686365054955e-02 7.860453026761864415e+00 8.990236399396365741e+05 2.715899548309095479e+01
0.000000000000000000e+00 -1.768136634335481875e+14 8.340680473316501586e-02 7.820854693908767530e+00 9.716770307285004528e+05 1.770460744926417362e+01
0.000000000000000000e+00 -1.578722273028826250e+14 2.959458868477510968e-02 7.920331750196420550e+00 8.439443352262950502e+05 8.510640882255113837e+00
0.000000000000000000e+00 -1.574558163576861875e+14 2.805924557731063335e-02 7.776664854534193871e+00 9.516255404841140844e+05 2.517810739834947498e+01
0.000000000000000000e+00 -1.470188293064972500e+14 6.802969300210588710e-02 7.861213833733814660e+00 9.098770172739757691e+05 2.581073321281695243e+01
0.000000000000000000e+00 -1.283929667664806875e+14 6.586196137452324240e-02 7.914474485995171449e+00 8.579991500928165624e+05 1.496131326113357218e+01
0.000000000000000000e+00 -1.245476228417912812e+14 8.260460405786808347e-02 7.812535497240923554e+00 9.459681426542180125e+05 2.583587371066702687e+01
0.000000000000000000e+00 -1.104245958139879531e+14 4.434478405348730307e-02 7.744181100273746843e+00 9.604054943747816142e+05 2.672759063484649644e+01
0.000000000000000000e+00 -1.061973227443211875e+14 8.154020308344862855e-02 7.794748676634448259e+00 9.455003135221727425e+05 2.035354187547541471e+01
0.000000000000000000e+00 -1.036474078037470156e+14 6.551843568142005914e-02 7.839350362504605485e+00 8.956268210302949883e+05 1.899682322395334211e+01
0.000000000000000000e+00 -9.093210474336560938e+13 6.956871855272156457e-02 7.824424801935215612e+00 8.992481885222846176e+05 2.455495887510190656e+01
0.000000000000000000e+00 -7.174875975725718750e+13 8.164305152260635523e-02 7.794783376866371682e+00 9.115199275122393155e+05 1.263116855003559991e+01
0.000000000000000000e+00 -6.639032637712851562e+13 7.968059547634963324e-02 7.863343989622006092e+00 8.534032511502753478e+05 2.839733027099996576e+01
0.000000000000000000e+00 -5.189346868223062500e+13 2.658479795753102351e-02 7.823313196371385558e+00 8.290389089042535052e+05 5.481058837936656936e+00
0.000000000000000000e+00 -4.904843577769104688e+13 7.665127846578863313e-02 7.870138548812998458e+00 8.244471060355718946e+05 1.480169782241669907e+01
0.000000000000000000e+00 -4.329440927286050781e+13 4.889287742651476920e-02 7.673806920005490362e+00 9.381428379874946550e+05 2.773557901466215725e+01
0.000000000000000000e+00 -3.817587252489822656e+13 9.999676616703713494e-02 7.823643201343787545e+00 8.533460901518865721e+05 1.916489264252560076e+01
0.000000000000000000e+00 -3.674415519405790625e+13 4.743526620935402394e-02 7.766296472456315492e+00 8.535228237114028307e+05 1.130049138430410238e+01
0.000000000000000000e+00 -3.089026866997483203e+13 2.259815168922031658e-02 7.756619496552886517e+00 8.295219527034218190e+05 1.558728826399935130e+01
0.000000000000000000e+00 -2.956785415680195312e+13 9.121737822759562464e-02 7.841545247815619568e+00 8.168377797018276760e+05 2.375843943966975402e+01
0.000000000000000000e+00 -2.935304697402356250e+13 7.863109297941067721e-02 7.839060614443088326e+00 8.097398664999732282e+05 2.409235362428886873e+01
0.000000000000000000e+00 -2.375869678575904297e+13 3.020289729778082716e-02 7.678554469418680917e+00 8.696643021416557021e+05 1.576596906389095665e+01
0.000000000000000000e+00 -2.337958572844927344e+13 2.715635776230530471e-02 7.624061422794267351e+00 9.068998750973512651e+05 1.640626591921797939e+01
0.000000000000000000e+00 -2.221223028496633984e+13 5.051375120938161184e-02 7.910422182878687813e+00 7.325836731564775109e+05 1.919238230149138502e+01
0.000000000000000000e+00 -2.029407099323543750e+13 3.573830532354534822e-02 7.755869005737197064e+00 8.090644252848252654e+05 2.302925604185142916e+01
0.000000000000000000e+00 -1.994475327620089453e+13 4.413306129128187483e-02 7.586792173539248729e+00 9.365702603700244799e+05 2.350061669807295672e+01
0.000000000000000000e+00 -1.825468127955059375e+13 4.645948418294185145e-02 7.542813687290557567e+00 9.672953301735459827e+05 2.040428908548043907e+01
0.000000000000000000e+00 -1.694489662162252148e+13 6.382420472882668894e-02 7.640561263872727160e+00 8.959751489367199829e+05 1.759305207066153187e+01
0.000000000000000000e+00 -1.686720692076074805e+13 5.581637313990367444e-02 7.987996118973002879e+00 6.805483197163243312e+05 1.559746384192099278e+01
0.000000000000000000e+00 -1.637609257285086328e+13 2.822669034427938844e-02 7.637961199328098694e+00 8.683219347684885142e+05 1.612739611682527396e+01
0.000000000000000000e+00 -1.468866368176803906e+13 2.909752572365870496e-02 7.573962301992116508e+00 9.081608414570727618e+05 2.517387373232650205e+01
0.000000000000000000e+00 -1.461840532708415625e+13 4.881885512400081090e-02 7.634563906326544469e+00 8.771992963849693770e+05 2.590287768451704764e+01
0.000000000000000000e+00 -1.435199407160141016e+13 2.064975559343960182e-02 7.875239421144288876e+00 7.089387685015047900e+05 1.194394630057720619e+01
0.000000000000000000e+00 -1.267026917320489258e+13 8.263953071232922609e-02 7.968739530619084022e+00 6.892498577416441403e+05 5.948344911401171942e+00
0.000000000000000000e+00 -1.265555653532008008e+13 2.810011210463688597e-02 7.553523539978208134e+00 9.106910205803622957e+05 1.839604150750227518e+01
0.000000000000000000e+00 -1.258333408407841602e+13 8.384917363906141397e-02 7.909033787768796842e+00 7.190913880986017175e+05 1.343452367662523272e+01
0.000000000000000000e+00 -1.221179941445598242e+13 2.117251855787580933e-02 7.822245077504391020e+00 7.280543556668545352e+05 1.904934920844850765e+01
0.000000000000000000e+00 -1.180934792774216211e+13 2.734669447192024025e-02 7.712182192234062761e+00 7.938931221112845233e+05 2.904821247466150425e+01
0.000000000000000000e+00 -1.179404802044260547e+13 9.095253331962754872e-02 7.507887625602515769e+00 9.948912364611761877e+05 1.194752128420899062e+01
0.000000000000000000e+00 -1.157186892314851758e+13 5.472632013399661433e-02 7.914044323824602323e+00 6.961472584238357376e+05 2.831682555608568919e+01
0.000000000000000000e+00 -1.144078867010787305e+13 8.962022317343049105e-02 7.585802194027083445e+00 9.252665435592321446e+05 2.538734336745257281e+01
0.000000000000000000e+00 -1.143351276994792188e+13 5.294811653875365620e-02 7.829337703553918892e+00 7.389164335142696509e+05 2.645743333615629922e+01
