weight logl nH log(R_in*) T_p R_ratio
0.000000000000000000e+00 -1.318149012048648750e+15 1.096134280693332741e-01 9.473571439344574685e-01 9.803350543897523250e-01 3.663638133039823774e-01
0.000000000000000000e+00 -9.282040188529363750e+14 1.462869350565315640e-01 9.157865723426216187e-01 9.715189544121509702e-01 2.357960399366987314e-02
0.000000000000000000e+00 -4.342869559497662500e+14 1.819555503015426456e-01 7.039343333108013523e-01 9.927303388926760341e-01 8.390805384562358693e-01
0.000000000000000000e+00 -3.454246279127733125e+14 2.608607208850191039e-01 7.958739686524489709e-01 9.294906406659956266e-01 2.564751207105645525e-01
0.000000000000000000e+00 -3.408392092088915000e+14 1.895144357137179547e-01 9.649608412953636360e-01 8.482065218984370381e-01 2.139631772949354138e-01
0.000000000000000000e+00 -3.258365254984590000e+14 2.534719371195336413e-01 9.226434829519725156e-01 8.662689832058809714e-01 8.028889677735782104e-01
0.000000000000000000e+00 -2.997845870746510625e+14 6.339145621943209630e-02 8.747604757944006382e-01 8.665611056119844058e-01 8.319242029948749062e-01
0.000000000000000000e+00 -2.686952083038745625e+14 4.979326040515530405e-02 5.849646446851074488e-01 9.921716232907232813e-01 4.363654902184761486e-01
0.000000000000000000e+00 -2.470795403037471875e+14 8.788659075677361932e-01 7.688825383833443050e-01 9.541499644195529095e-01 6.193823207822236609e-01
0.000000000000000000e+00 -1.965976839138005000e+14 2.869121079563186072e-02 7.331179083148267051e-01 8.878040443773740353e-01 8.863598193236381650e-01
0.000000000000000000e+00 -1.768136634335481875e+14 7.925850591645626775e-01 6.573865208554519057e-01 9.685300341427782733e-01 5.081842979705669672e-01
0.000000000000000000e+00 -1.578722273028826250e+14 1.199323585596888675e-01 8.476353255459523339e-01 8.266048169181056116e-01 1.404256352902045757e-01
0.000000000000000000e+00 -1.574558163576861875e+14 1.007405697163828995e-01 5.728739263515731928e-01 9.462506005379045515e-01 8.071242959339789413e-01
0.000000000000000000e+00 -1.470188293064972500e+14 6.003711625263236096e-01 7.345729434999770380e-01 8.998633525266397371e-01 8.324293285126781461e-01
0.000000000000000000e+00 -1.283929667664806875e+14 5.732745171815405438e-01 8.364333704959172611e-01 8.422212778809072820e-01 3.984525304453429007e-01
0.000000000000000000e+00 -1.245476228417912812e+14 7.825575507233509809e-01 6.414761463318446877e-01 9.399646029491310895e-01 8.334349484266810881e-01
0.000000000000000000e+00 -1.104245958139879531e+14 3.043098006685912571e-01 5.107490942491875741e-01 9.560061048608684553e-01 8.691036253938598799e-01
0.000000000000000000e+00 -1.061973227443211875e+14 7.692525385431078222e-01 6.074590424296030244e-01 9.394447928024142191e-01 6.141416750190165086e-01
0.000000000000000000e+00 -1.036474078037470156e+14 5.689804460177506629e-01 6.927592889451578140e-01 8.840298011447722537e-01 5.598729289581337865e-01
0.000000000000000000e+00 -9.093210474336560938e+13 6.196089819090195849e-01 6.642143142180104709e-01 8.880535428025384537e-01 7.821983550040761957e-01
0.000000000000000000e+00 -7.174875975725718750e+13 7.705381440325794751e-01 6.075254062514959807e-01 9.016888083469325466e-01 3.052467420014239874e-01
0.000000000000000000e+00 -6.639032637712851562e+13 7.460074434543703115e-01 7.386468438208803056e-01 8.371147235003059128e-01 9.358932108399986571e-01
0.000000000000000000e+00 -5.189346868223062500e+13 8.230997446913779214e-02 6.620883804831549924e-01 8.100432321158372861e-01 1.924235351746628186e-02
