#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539001	56991.43	16.06	0.03	8.17e-15	2.00e-16	38.16
00033539002	56993.89	16.33	0.03	6.35e-15	1.64e-16	29.65
00033539003	56995.28	16.15	0.03	7.46e-15	1.87e-16	34.84
00033539004	56998.28	16.30	0.03	6.51e-15	1.60e-16	30.40
00033539005	57001.61	16.44	0.03	5.75e-15	1.50e-16	26.85
00033539006	57004.26	16.36	0.04	6.19e-15	2.16e-16	28.91
00033539007	57007.27	16.52	0.03	5.31e-15	1.39e-16	24.79
00033539008	57010.80	16.61	0.03	4.92e-15	1.30e-16	22.97
00033539009	57013.07	16.62	0.03	4.88e-15	1.28e-16	22.79
00033539010	57016.06	16.74	0.03	4.34e-15	1.19e-16	20.26
00033539011	57019.52	16.78	0.03	4.18e-15	1.14e-16	19.51
00033539012	57022.72	16.84	0.03	3.98e-15	1.11e-16	18.58
00033539014	57029.32	17.13	0.03	3.04e-15	8.59e-17	14.19
00033539015	57033.11	17.09	0.04	3.16e-15	1.02e-16	14.75
00033539016	57036.11	17.13	0.04	3.05e-15	1.02e-16	14.23
00033539017	57039.04	17.19	0.03	2.87e-15	8.64e-17	13.39
00033539018	57042.23	17.30	0.04	2.61e-15	8.81e-17	12.18
00033539019	57045.56	17.40	0.04	2.37e-15	7.83e-17	11.06
00033539020	57048.76	17.40	0.04	2.37e-15	7.68e-17	11.06
00033539021	57051.47	17.36	0.04	2.47e-15	8.66e-17	11.52
00033539022	57054.01	17.38	0.03	2.41e-15	7.39e-17	11.24
00033539023	57057.53	17.42	0.03	2.33e-15	7.33e-17	10.87
00033539024	57059.80	17.42	0.04	2.33e-15	7.55e-17	10.87
00033539025	57065.85	17.38	0.06	2.41e-15	1.33e-16	11.24
00033539026	57068.78	17.79	0.05	1.66e-15	6.94e-17	7.74
00033539027	57071.71	17.57	0.04	2.03e-15	7.14e-17	9.47
00033539028	57074.85	17.61	0.04	1.95e-15	6.49e-17	9.09
00033539029	57077.58	17.73	0.04	1.75e-15	6.30e-17	8.16
00033539030	57080.89	17.76	0.04	1.70e-15	5.86e-17	7.93
00033539032	57086.89	17.86	0.04	1.56e-15	6.07e-17	7.27
00033539033	57089.35	18.03	0.04	1.33e-15	5.27e-17	6.20
00033539034	57099.39	18.10	0.05	1.25e-15	5.72e-17	5.82
00033539035	57102.39	18.33	0.06	1.01e-15	5.30e-17	4.70
00033539036	57105.25	18.23	0.07	1.11e-15	6.64e-17	5.17
00033539037	57108.77	18.31	0.06	1.03e-15	5.26e-17	4.79
00033539038	57111.89	18.33	0.05	1.01e-15	5.05e-17	4.70
00033539039	57114.09	18.35	0.06	9.86e-16	5.82e-17	4.61
00033539040	57117.68	18.35	0.05	9.86e-16	4.65e-17	4.61
00033539041	57120.28	18.43	0.06	9.16e-16	5.00e-17	4.28
00033539042	57123.54	18.53	0.06	8.36e-16	4.72e-17	3.91
00033539043	57126.13	18.54	0.06	8.26e-16	4.59e-17	3.86
00033539045	57129.20	18.57	0.07	8.06e-16	4.92e-17	3.77
00033539046	57132.46	18.60	0.06	7.82e-16	4.17e-17	3.65
00033539047	57136.12	18.70	0.07	7.16e-16	4.90e-17	3.35
00033539048	57139.31	18.54	0.06	8.26e-16	4.65e-17	3.86
00033539049	57147.56	18.72	0.07	7.04e-16	4.32e-17	3.29
00033539050	57150.22	18.71	0.06	7.08e-16	4.16e-17	3.31
00033539051	57153.41	18.64	0.06	7.58e-16	4.38e-17	3.54
00033539052	57156.35	18.67	0.08	7.36e-16	5.13e-17	3.44
00033539053	57173.04	18.87	0.08	6.11e-16	4.37e-17	2.86
00033539054	57176.10	18.78	0.07	6.67e-16	4.57e-17	3.12
00033539055	57179.03	18.87	0.09	6.09e-16	5.00e-17	2.85
00033539056	57182.09	19.07	0.11	5.07e-16	5.07e-17	2.37
00033539057	57185.96	18.98	0.09	5.55e-16	4.52e-17	2.59
00033539058	57188.55	19.20	0.16	4.51e-16	6.60e-17	2.11
00033539059	57191.81	19.04	0.08	5.21e-16	3.89e-17	2.43
00033539060	57194.66	18.92	0.07	5.83e-16	3.97e-17	2.72
00033539061	57200.38	19.01	0.10	5.37e-16	4.73e-17	2.51
00033539062	57203.77	19.06	0.09	5.11e-16	4.16e-17	2.39
00033539063	57226.25	18.82	0.07	6.38e-16	4.37e-17	2.98
00033539064	57230.37	19.08	0.12	5.02e-16	5.51e-17	2.35
00033539065	57236.36	19.06	0.08	5.15e-16	3.73e-17	2.41
00033539066	57238.82	18.99	0.08	5.49e-16	3.92e-17	2.57
00033539067	57242.08	18.95	0.08	5.66e-16	3.93e-17	2.64
00033539068	57246.87	19.05	0.08	5.20e-16	3.78e-17	2.43
00033539069	57340.71	19.13	0.07	4.83e-16	2.93e-17	2.26
00033539070	57351.81	19.10	0.08	4.95e-16	3.58e-17	2.31
00033539071	57354.66	19.49	0.10	3.47e-16	3.17e-17	1.62
00033539072	57357.32	19.12	0.08	4.87e-16	3.61e-17	2.28
00033539073	57360.18	19.39	0.11	3.80e-16	3.70e-17	1.78
00033539074	57363.91	19.49	0.10	3.46e-16	3.18e-17	1.62
00033539075	57366.90	19.53	0.10	3.34e-16	3.13e-17	1.56
00033539076	57369.83	19.32	0.09	4.05e-16	3.38e-17	1.89
00033539077	57372.21	19.20	0.09	4.52e-16	3.65e-17	2.11
00033539078	57375.54	19.27	0.10	4.23e-16	3.86e-17	1.98
00033539079	57378.07	19.31	0.11	4.07e-16	4.20e-17	1.90
00033539080	57383.20	19.10	0.12	4.97e-16	5.38e-17	2.32
00033539082	57411.45	19.18	0.09	4.59e-16	3.70e-17	2.14
00033539084	57417.49	19.35	0.10	3.93e-16	3.54e-17	1.84
00033539085	57423.00	19.29	0.15	4.17e-16	5.64e-17	1.95
00033539086	57426.46	19.19	0.15	4.54e-16	6.45e-17	2.12
00033539087	57427.72	19.32	0.10	4.03e-16	3.70e-17	1.88
00033539088	57429.67	19.35	0.16	3.93e-16	5.72e-17	1.84
00033539089	57432.79	19.28	0.10	4.18e-16	3.72e-17	1.95
00033539090	57435.71	19.12	0.09	4.87e-16	4.00e-17	2.28
00033539091	57519.79	19.33	0.09	4.00e-16	3.27e-17	1.87
00033539092	57522.51	19.38	0.08	3.81e-16	2.96e-17	1.78
00033539093	57526.70	19.39	0.09	3.78e-16	3.20e-17	1.77
00033539094	57542.65	19.19	0.10	4.56e-16	4.11e-17	2.13
00033539095	57545.45	19.44	0.21	3.62e-16	6.98e-17	1.69
00033539096	57546.36	19.31	0.12	4.09e-16	4.36e-17	1.91
00033539097	57550.09	19.51	0.12	3.38e-16	3.63e-17	1.58
00033539098	57554.34	19.47	0.11	3.52e-16	3.50e-17	1.64
00033539099	57718.00	19.39	0.10	3.78e-16	3.32e-17	1.77
00033539100	57819.60	19.45	0.16	3.58e-16	5.35e-17	1.67
00033539101	57820.41	19.37	0.11	3.86e-16	3.96e-17	1.80
00033539102	57821.94	19.38	0.10	3.83e-16	3.61e-17	1.79
00033539103	57826.85	19.49	0.10	3.46e-16	3.21e-17	1.62
00033539104	57828.57	19.38	0.12	3.84e-16	4.24e-17	1.79
00033539105	57833.50	19.33	0.12	4.01e-16	4.42e-17	1.87
