#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539001	56991.43	16.44	0.05	2.40e-15	1.06e-16	3.21
00033539002	56993.88	16.53	0.05	2.21e-15	1.02e-16	2.96
00033539003	56995.27	16.51	0.05	2.25e-15	1.02e-16	3.01
00033539004	56998.23	16.56	0.05	2.16e-15	1.01e-16	2.89
00033539005	57001.60	16.62	0.05	2.03e-15	9.69e-17	2.72
00033539006	57004.13	16.79	0.06	1.74e-15	9.66e-17	2.33
00033539007	57007.26	16.84	0.06	1.66e-15	8.67e-17	2.22
00033539008	57010.80	16.90	0.06	1.57e-15	8.34e-17	2.10
00033539009	57013.06	16.86	0.06	1.64e-15	8.61e-17	2.20
00033539010	57016.06	16.99	0.06	1.45e-15	8.11e-17	1.94
00033539011	57019.51	17.07	0.06	1.34e-15	7.60e-17	1.79
00033539012	57022.71	17.03	0.06	1.39e-15	8.01e-17	1.86
00033539014	57029.31	17.29	0.07	1.10e-15	6.67e-17	1.47
00033539015	57033.11	17.46	0.10	9.42e-16	8.55e-17	1.26
00033539016	57036.04	17.35	0.07	1.04e-15	7.17e-17	1.39
00033539017	57039.03	17.53	0.08	8.82e-16	6.59e-17	1.18
00033539018	57042.23	17.51	0.09	9.02e-16	7.45e-17	1.21
00033539019	57045.55	17.55	0.09	8.62e-16	6.87e-17	1.15
00033539020	57048.75	17.59	0.09	8.32e-16	6.70e-17	1.11
00033539021	57051.46	17.49	0.08	9.12e-16	6.69e-17	1.22
00033539022	57054.00	17.54	0.08	8.72e-16	6.43e-17	1.17
00033539023	57057.52	17.65	0.09	7.92e-16	6.23e-17	1.06
00033539024	57059.80	17.62	0.09	8.12e-16	6.55e-17	1.09
00033539025	57065.78	17.62	0.08	8.12e-16	6.21e-17	1.09
00033539026	57068.77	17.78	0.11	7.02e-16	7.25e-17	0.94
00033539027	57071.70	17.69	0.09	7.62e-16	6.33e-17	1.02
00033539028	57074.84	17.78	0.09	7.02e-16	6.06e-17	0.94
00033539029	57077.57	17.79	0.10	6.92e-16	6.28e-17	0.93
00033539030	57080.89	17.98	0.11	5.82e-16	5.66e-17	0.78
00033539032	57086.88	18.10	0.12	5.22e-16	5.95e-17	0.70
00033539033	57089.34	18.30	0.13	4.32e-16	5.12e-17	0.58
00033539034	57099.39	18.21	0.14	4.72e-16	6.15e-17	0.63
00033539035	57102.39	18.36	0.12	4.12e-16	4.72e-17	0.55
00033539036	-99.00	-99.00	-99.00	-9.90e+01	-9.90e+01	-99.00
00033539037	57108.77	18.59	0.14	3.32e-16	4.43e-17	0.44
00033539038	57111.90	18.50	0.13	3.62e-16	4.39e-17	0.48
00033539039	57114.09	18.56	0.15	3.42e-16	4.87e-17	0.46
00033539040	57117.69	18.69	0.15	3.02e-16	4.17e-17	0.40
