#Values corrected for Galactic extinction
obsid	mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err	TDE/host
00033539001	56991.42	16.08	0.05	5.60e-15	2.36e-16	17.33
00033539002	56993.88	16.25	0.05	4.79e-15	2.01e-16	14.82
00033539003	56995.27	16.18	0.05	5.10e-15	2.12e-16	15.78
00033539004	56998.22	16.25	0.05	4.76e-15	2.07e-16	14.73
00033539005	57001.60	16.36	0.05	4.31e-15	1.83e-16	13.33
00033539006	57004.13	16.34	0.05	4.39e-15	1.92e-16	13.58
00033539007	57007.26	16.49	0.05	3.82e-15	1.66e-16	11.82
00033539008	57010.79	16.59	0.05	3.50e-15	1.53e-16	10.83
00033539009	57013.06	16.56	0.05	3.59e-15	1.57e-16	11.11
00033539010	57016.05	16.71	0.05	3.12e-15	1.41e-16	9.65
00033539011	57019.51	16.73	0.05	3.06e-15	1.37e-16	9.46
00033539012	57022.71	16.82	0.05	2.84e-15	1.31e-16	8.78
00033539014	57029.31	17.03	0.05	2.33e-15	1.08e-16	7.20
00033539015	57033.04	17.07	0.06	2.24e-15	1.14e-16	6.93
00033539016	57036.04	17.09	0.05	2.20e-15	1.08e-16	6.80
00033539017	57039.03	17.15	0.05	2.09e-15	1.04e-16	6.46
00033539018	57042.23	17.15	0.06	2.08e-15	1.10e-16	6.43
00033539019	57045.55	17.35	0.06	1.74e-15	9.37e-17	5.38
00033539020	57048.75	17.29	0.06	1.84e-15	9.65e-17	5.69
00033539021	57051.46	17.20	0.05	1.99e-15	1.00e-16	6.15
00033539022	57054.00	17.24	0.05	1.92e-15	9.69e-17	5.93
00033539023	57057.52	17.24	0.05	1.92e-15	9.66e-17	5.93
00033539024	57059.79	17.32	0.06	1.78e-15	9.38e-17	5.50
00033539025	57065.78	17.30	0.05	1.82e-15	9.13e-17	5.63
00033539026	57068.77	17.59	0.07	1.40e-15	8.83e-17	4.33
00033539027	57071.70	17.42	0.06	1.63e-15	8.73e-17	5.04
00033539028	57074.84	17.55	0.06	1.45e-15	8.02e-17	4.48
00033539029	57077.57	17.66	0.06	1.31e-15	7.69e-17	4.05
00033539030	57080.89	17.63	0.06	1.34e-15	7.55e-17	4.14
00033539032	57086.88	17.80	0.07	1.15e-15	7.25e-17	3.55
00033539033	57089.34	17.87	0.07	1.08e-15	6.50e-17	3.33
